t,u,y
0.1,0.0,0.0004524072095284815
0.2,0.0,0.0010443941063434108
0.30000000000000004,0.0,0.0016976267716174134
0.4,0.0,0.002360743149863744
0.5,0.0,0.002999810166871098
0.6,0.0,0.0035920602909027322
0.7,0.0,0.0041214329013397446
0.7999999999999999,0.0,0.004576632869714354
0.8999999999999999,0.0,0.004950072162785737
0.9999999999999999,0.0,0.005237029015657632
1.0999999999999999,0.0,0.005435105174372512
1.2,0.0,0.005543861259144561
1.3,0.0,0.005564556663896547
1.4000000000000001,0.0,0.005499949505067937
1.5000000000000002,0.0,0.005354129748333093
1.6000000000000003,0.0,0.005132369349267989
1.7000000000000004,0.0,0.004840979805836339
1.8000000000000005,0.0,0.004487171610944054
1.9000000000000006,0.0,0.004078912717962645
2.0000000000000004,0.0,0.0036247848815787694
2.1000000000000005,0.0,0.0031338379437335986
2.2000000000000006,0.0,0.0026154429769413767
2.3000000000000007,0.0,0.0020791480300862463
2.400000000000001,0.0,0.0015345481082483172
2.500000000000001,0.0,0.0009912035732186333
2.600000000000001,0.0,0.0004585254081768509
2.700000000000001,0.0,-5.4414257111283786e-05
2.800000000000001,0.0,-0.0005390430965020484
2.9000000000000012,0.0,-0.000987330861697355
3.0000000000000013,0.0,-0.0013911687077347251
3.1000000000000014,0.0,-0.0017432145753590487
3.2000000000000015,0.0,-0.0020375990461675812
3.3000000000000016,0.0,-0.0022699064876744563
3.4000000000000017,0.0,-0.002437130125745894
3.5000000000000018,0.0,-0.002537625962642733
3.600000000000002,0.0,-0.002571055821068059
3.700000000000002,0.0,-0.00253831801589292
3.800000000000002,0.0,-0.0024414662111816535
3.900000000000002,0.0,-0.0022836177277103524
4.000000000000002,0.0,-0.002068852846043102
4.100000000000001,0.0,-0.0018021067017800667
4.200000000000001,0.0,-0.0014890553250212083
4.300000000000001,0.0,-0.0011359973135603432
4.4,0.0,-0.0007497325851778568
4.5,0.0,-0.0003374396350271087
4.6,0.0,9.344723877930837e-05
4.699999999999999,0.0,0.0005353514622437748
4.799999999999999,0.0,0.0009806529149876011
4.899999999999999,0.0,0.0014217683238559977
4.999999999999998,0.0,0.0018512762213499278
5.099999999999998,0.0,0.0022620620395993924
5.1999999999999975,0.0,0.00264744611885948
5.299999999999997,0.0,0.0030012947455462092
5.399999999999997,0.0,0.003318114988747649
5.4999999999999964,0.0,0.003593133953008804
5.599999999999996,0.0,0.003822316563893278
5.699999999999996,0.0,0.004002029039396263
5.799999999999995,0.0,0.004129521459969409
5.899999999999995,0.0,0.004203278320160049
5.999999999999995,0.0,0.004222935907571193
6.099999999999994,0.0,0.004189199322146253
6.199999999999994,0.0,0.0041037595162512685
6.299999999999994,0.0,0.003969207591452443
6.399999999999993,0.0,0.0037889450561855637
6.499999999999993,0.0,0.0035670896849576083
6.5999999999999925,0.0,0.003308377224121335
6.699999999999992,0.0,0.003018059589625273
6.799999999999992,0.0,0.0027018004755657897
6.8999999999999915,0.0,0.002365569480992981
6.999999999999991,0.0,0.0020155359858993276
7.099999999999991,0.0,0.0016579650767074218
7.19999999999999,0.0,0.0012991376749376426
7.29999999999999,0.0,0.0009452736615960639
7.39999999999999,0.0,0.0006024147527379903
7.499999999999989,0.0,0.00027631171022914075
7.599999999999989,0.0,-2.758594845873115e-05
7.699999999999989,0.0,-0.0003039064371776405
7.799999999999988,0.0,-0.0005478657073992846
7.899999999999988,0.0,-0.0007554861273017383
7.999999999999988,0.0,-0.0009236241874995459
8.099999999999987,0.0,-0.0010499853391145982
8.199999999999987,0.0,-0.0011331260728397253
8.299999999999986,0.0,-0.0011724425691440289
8.399999999999986,0.0,-0.0011681462144644051
8.499999999999986,0.0,-0.0011212268916311818
8.599999999999985,0.0,-0.0010334053076446858
8.699999999999985,0.0,-0.0009070757952492911
8.799999999999985,0.0,-0.000745241079137181
8.899999999999984,0.0,-0.0005514404815834047
8.999999999999984,0.0,-0.0003296729907848642
9.099999999999984,0.0,-8.43165505743105e-05
9.199999999999983,0.0,0.0001799545905185327
9.299999999999983,0.0,0.0004582492077144093
9.399999999999983,0.0,0.000745547087783997
9.499999999999982,0.0,0.001036783200276219
9.599999999999982,0.0,0.001326908453093632
9.699999999999982,0.0,0.0016109674793881358
9.799999999999981,0.0,0.0018841901416225102
9.89999999999998,0.0,0.002142075299214269
9.99999999999998,0.0,0.002380465587097079
10.09999999999998,0.0,0.0025956129629693086
10.19999999999998,0.0,0.0027842348027884573
10.29999999999998,0.0,0.0029435604008562315
10.399999999999979,0.0,0.0030713678237229993
10.499999999999979,0.0,0.003165986818038543
10.599999999999978,0.0,0.003226185010814024
10.699999999999978,0.0,0.00325137712355329
10.799999999999978,0.0,0.0032417050637817925
10.899999999999977,0.0,0.003197987532463584
10.999999999999977,0.0,0.0031216664839122774
11.099999999999977,0.0,0.0030147502205091375
11.199999999999976,0.0,0.0028797527655749435
11.299999999999976,0.0,0.002719629655088434
11.399999999999975,0.0,0.002537710615900888
11.499999999999975,0.0,0.0023376298101776293
11.599999999999975,0.0,0.002123254459320902
11.699999999999974,0.0,0.0018986127383905135
11.799999999999974,0.0,0.0016678220800164082
11.899999999999974,0.0,0.0014350261243899006
11.999999999999973,0.0,0.0012043366586952495
12.099999999999973,0.0,0.0009797600538647142
12.199999999999973,0.0,0.0007651573682581285
12.299999999999972,0.0,0.0005643097904450055
12.399999999999972,0.0,0.0003807064544119174
12.499999999999972,0.0,0.00021742478766462173
12.599999999999971,0.0,7.70867723182611e-05
12.69999999999997,0.0,-3.817568787921955e-05
